publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	own_anchor	package:collection	all_issns	zdb_id
Accreditation and Quality Assurance : Journal for Quality, Comparability and Reliability in Chemical Measurement	0949-1775	1432-0517	1997	2	1				https://link.springer.com/journal/volumesAndIssues/769		815		fulltext		Springer	Serial		DESPR:deal_springer	0949-1775;1432-0517	1472208-2
Accreditation and Quality Assurance : Journal for Quality, Comparability and Reliability in Chemical Measurement	0949-1775	1432-0517	2020	25	1				https://link.springer.com/journal/volumesAndIssues/769		815		fulltext		Springer	Serial		DESPR:deal_springer_current	0949-1775;1432-0517	1472208-2
Accreditation and Quality Assurance : Journal for Quality, Comparability and Reliability in Chemical Measurement	0949-1775	1432-0517	2020	25	1				https://link.springer.com/journal/volumesAndIssues/769		815		fulltext		Springer	Serial		DESPR:deal_springer_current	0949-1775;1432-0517	1472208-2
Acoustical Physics	1063-7710	1562-6865	2000	46	3				https://link.springer.com/journal/volumesAndIssues/11441		7145		fulltext		MAIK Nauka/Interperiodica ; Springer Science+Business Media	Serial		DESPR:deal_springer	1063-7710;1562-6865	2007093-7
Acoustical Physics	1063-7710	1562-6865	2000	46	3				https://link.springer.com/journal/volumesAndIssues/11441		7145		fulltext		MAIK Nauka/Interperiodica ; Springer Science+Business Media	Serial		DESPR:deal_springer	1063-7710;1562-6865	2007093-7
Acoustical Physics	1063-7710	1562-6865	2020	66	1				https://link.springer.com/journal/volumesAndIssues/11441		7145		fulltext		MAIK Nauka/Interperiodica ; Springer Science+Business Media	Serial		DESPR:deal_springer_current	1063-7710;1562-6865	2007093-7
Acoustical Physics	1063-7710	1562-6865	2020	66	1				https://link.springer.com/journal/volumesAndIssues/11441		7145		fulltext		MAIK Nauka/Interperiodica ; Springer Science+Business Media	Serial		DESPR:deal_springer_current	1063-7710;1562-6865	2007093-7
Acoustics Australia (2015 -)	0814-6039	1839-2571	2015	43	1				https://link.springer.com/journal/volumesAndIssues/40857		230105		fulltext		Springer	Serial		DESPR:deal_springer	0814-6039;1839-2571	2681121-2
Acoustics Australia (2015 -)	0814-6039	1839-2571	2015	43	1				https://link.springer.com/journal/volumesAndIssues/40857		230105		fulltext		Springer	Serial		DESPR:deal_springer	0814-6039;1839-2571	2681121-2
Acoustics Australia (2015 -)	0814-6039	1839-2571	2020	48	1				https://link.springer.com/journal/volumesAndIssues/40857		230105		fulltext		Springer	Serial		DESPR:deal_springer_current	0814-6039;1839-2571	2681121-2
Acoustics Australia (2015 -)	0814-6039	1839-2571	2020	48	1				https://link.springer.com/journal/volumesAndIssues/40857		230105		fulltext		Springer	Serial		DESPR:deal_springer_current	0814-6039;1839-2571	2681121-2
ACR Open Rheumatology		2578-5745	2019	1					https://onlinelibrary.wiley.com/journal/25785745		454760		fulltext		Wiley	Serial		WIDEA:deal_wiley	2578-5745	2971160-5
Acta Anaesthesiologica Scandinavica (incl. Supplemente)	0001-5172	1399-6576	1997	41					https://onlinelibrary.wiley.com/journal/13996576		6490		fulltext		Wiley-Blackwell - STM	Serial		WIDEA:deal_wiley	0001-5172;1399-6576	2004319-3
Acta Analytica	0353-5150	1874-6349	2002	17	1				https://link.springer.com/journal/volumesAndIssues/12136		64587		fulltext		Springer	Serial		DESPR:deal_springer	0353-5150;1874-6349	2225640-4
Acta Analytica	0353-5150	1874-6349	2002	17	1				https://link.springer.com/journal/volumesAndIssues/12136		64587		fulltext		Springer	Serial		DESPR:deal_springer	0353-5150;1874-6349	2225640-4
Acta Analytica	0353-5150	1874-6349	2020	35	1				https://link.springer.com/journal/volumesAndIssues/12136		64587		fulltext		Springer	Serial		DESPR:deal_springer_current	0353-5150;1874-6349	2225640-4
Acta Analytica	0353-5150	1874-6349	2020	35	1				https://link.springer.com/journal/volumesAndIssues/12136		64587		fulltext		Springer	Serial		DESPR:deal_springer_current	0353-5150;1874-6349	2225640-4
Acta Applicandae Mathematicae	0167-8019	1572-9036	1997	46	1				https://link.springer.com/journal/volumesAndIssues/10440		2209		fulltext		Springer Science+Business Media B.V. (formerly Kluwer Academic Publishers)	Serial		DESPR:deal_springer	0167-8019;1572-9036	1479016-6
Acta Applicandae Mathematicae	0167-8019	1572-9036	1997	46	1				https://link.springer.com/journal/volumesAndIssues/10440		2209		fulltext		Springer Science+Business Media B.V. (formerly Kluwer Academic Publishers)	Serial		DESPR:deal_springer	0167-8019;1572-9036	1479016-6
Acta Applicandae Mathematicae	0167-8019	1572-9036	2020	165	1				https://link.springer.com/journal/volumesAndIssues/10440		2209		fulltext		Springer Science+Business Media B.V. (formerly Kluwer Academic Publishers)	Serial		DESPR:deal_springer_current	0167-8019;1572-9036	1479016-6
Acta Applicandae Mathematicae	0167-8019	1572-9036	2020	165	1				https://link.springer.com/journal/volumesAndIssues/10440		2209		fulltext		Springer Science+Business Media B.V. (formerly Kluwer Academic Publishers)	Serial		DESPR:deal_springer_current	0167-8019;1572-9036	1479016-6
Acta Archaeologica	0065-101X	1600-0390	2000	71		2020	91		https://onlinelibrary.wiley.com/loi/16000390		9956		fulltext		Brill ; formerly Wiley-Blackwell 	Serial		WIDEA:deal_wiley	0065-101X;1600-0390	2002325-X
Acta Astronautica	0094-5765	1879-2030	1974	1		2022	201		https://www.sciencedirect.com/science/journal/00945765		3368		fulltext		International Academy of Astronautics / Elsevier	Serial		ELDEA:deal_elsevier_arch	0094-5765;1879-2030	2014614-0
Acta Astronautica	0094-5765	1879-2030	1995	35		2022	201		https://www.sciencedirect.com/science/journal/00945765		3368		fulltext		International Academy of Astronautics / Elsevier	Serial		ELDEA:deal_elsevier_frc	0094-5765;1879-2030	2014614-0
Acta Astronautica	0094-5765	1879-2030	2023	202					https://www.sciencedirect.com/science/journal/00945765		3368		fulltext		International Academy of Astronautics / Elsevier	Serial		ELDEA:deal_elsevier_core	0094-5765;1879-2030	2014614-0
Acta Biologica Hungarica (1997-2018)	0236-5383	1588-256X	1997	48		2018	69		https://link.springer.com/journal/volumesAndIssues/42977		35808		fulltext		Springer Nature ; Akadmiai Kiad	Serial		DESPR:deal_springer	0236-5383;1588-256X	2110466-9
Acta Biologica Hungarica (1997-2018)	0236-5383	1588-256X	1997	48		2018	69		https://link.springer.com/journal/volumesAndIssues/42977		35808		fulltext		Springer Nature ; Akadmiai Kiad	Serial		DESPR:deal_springer	0236-5383;1588-256X	2110466-9
Acta Biomaterialia	1742-7061	1878-7568	2005	1		2022	154		https://www.sciencedirect.com/science/journal/17427061		52158		fulltext		Elsevier	Serial		ELDEA:deal_elsevier_arch	1742-7061;1878-7568	2173841-5
Acta Biomaterialia	1742-7061	1878-7568	2005	1		2022	154		https://www.sciencedirect.com/science/journal/17427061		52158		fulltext		Elsevier	Serial		ELDEA:deal_elsevier_frc	1742-7061;1878-7568	2173841-5
Acta Biomaterialia	1742-7061	1878-7568	2023	155					https://www.sciencedirect.com/science/journal/17427061		52158		fulltext		Elsevier	Serial		ELDEA:deal_elsevier_core	1742-7061;1878-7568	2173841-5
Acta Biotechnologica	0138-4988	1521-3846	2001	21		2003	23		https://onlinelibrary.wiley.com/journal/16182863		10060		fulltext		Wiley-VCH ; frher: De Gruyter	Serial		WIDEA:deal_wiley	0138-4988;1521-3846	2044639-1
Acta Biotheoretica	0001-5342	1572-8358	1997	45	1				https://link.springer.com/journal/volumesAndIssues/10441		2331		fulltext		Springer Science+Business Media B.V. (formerly Kluwer Academic Publishers)	Serial		DESPR:deal_springer	0001-5342;1572-8358	1478105-0
Acta Biotheoretica	0001-5342	1572-8358	1997	45	1				https://link.springer.com/journal/volumesAndIssues/10441		2331		fulltext		Springer Science+Business Media B.V. (formerly Kluwer Academic Publishers)	Serial		DESPR:deal_springer	0001-5342;1572-8358	1478105-0
Acta Biotheoretica	0001-5342	1572-8358	2020	68	1				https://link.springer.com/journal/volumesAndIssues/10441		2331		fulltext		Springer Science+Business Media B.V. (formerly Kluwer Academic Publishers)	Serial		DESPR:deal_springer_current	0001-5342;1572-8358	1478105-0
Acta Biotheoretica	0001-5342	1572-8358	2020	68	1				https://link.springer.com/journal/volumesAndIssues/10441		2331		fulltext		Springer Science+Business Media B.V. (formerly Kluwer Academic Publishers)	Serial		DESPR:deal_springer_current	0001-5342;1572-8358	1478105-0
Acta Colombiana de Cuidado Intensivo	0122-7262	2773-0697	2023	23					https://www.sciencedirect.com/science/journal/01227262		479915		fulltext		Elsevier	Serial		ELDEA:deal_elsevier_core	0122-7262;2773-0697	3077724-0
Acta Colombiana de Cuidado Intensivo	0122-7262	2773-0697	2015	15		2022	22		https://www.sciencedirect.com/science/journal/01227262		479915		fulltext		Elsevier	Serial		ELDEA:deal_elsevier_arch	0122-7262;2773-0697	3077724-0
Acta Crystallographica Section A : Foundations and Advances	0108-7673	1600-5724	1997	53					https://onlinelibrary.wiley.com/journal/s20532733		585		fulltext		International Union of Crystallography (IUCr) ; Wiley	Serial		WIDEA:deal_wiley	0108-7673;0567-7394;1600-5724;1600-8596;2053-2733	2020844-3
Acta Crystallographica Section B : Structural Science, Crystal Engineering and Materials	0108-7681	1600-5740	1997	53					https://onlinelibrary.wiley.com/journal/s20525206		586		fulltext		International Union of Crystallography (IUCr) ; Wiley	Serial		WIDEA:deal_wiley	0108-7681;0567-7408;2052-5192;1600-5740;1600-8650;2052-5206	2020841-8
Acta Crystallographica Section C : Structural Chemistry	0108-2701	1600-5759	1997	53					https://onlinelibrary.wiley.com/journal/S20532296		587		fulltext		International Union of Crystallography (IUCr) ; Wiley	Serial		WIDEA:deal_wiley	0108-2701;1600-5759;2053-2296	2025703-X
Acta Crystallographica Section D : Structural Biology <Biological Crystallography>	0907-4449	1399-0047	1997	53					https://onlinelibrary.wiley.com/journal/s20597983		589		fulltext		International Union of Crystallography (IUCr) ; Wiley	Serial		WIDEA:deal_wiley	0907-4449;1399-0047;2059-7983	2968623-4
Acta Crystallographica Section F : Structural Biology Communications		2053-230X	2005	61					https://onlinelibrary.wiley.com/journal/S2053230X		52597		fulltext		International Union of Crystallography (IUCr) ; Wiley	Serial		WIDEA:deal_wiley	2053-230X	2175956-X
Acta Diabetologica (formerly: Acta Diabetologica Latina)	0001-5563	1432-5233	1997	34	1				https://link.springer.com/journal/volumesAndIssues/592		1487		fulltext		Springer	Serial		DESPR:deal_springer	0001-5563;0940-5429;1432-5233	1468518-8
Acta Diabetologica (formerly: Acta Diabetologica Latina)	0001-5563	1432-5233	1997	34	1				https://link.springer.com/journal/volumesAndIssues/592		1487		fulltext		Springer	Serial		DESPR:deal_springer	0001-5563;0940-5429;1432-5233	1468518-8
Acta Diabetologica (formerly: Acta Diabetologica Latina)	0001-5563	1432-5233	2020	57	1				https://link.springer.com/journal/volumesAndIssues/592		1487		fulltext		Springer	Serial		DESPR:deal_springer_current	0001-5563;0940-5429;1432-5233	1468518-8
Acta Diabetologica (formerly: Acta Diabetologica Latina)	0001-5563	1432-5233	2020	57	1				https://link.springer.com/journal/volumesAndIssues/592		1487		fulltext		Springer	Serial		DESPR:deal_springer_current	0001-5563;0940-5429;1432-5233	1468518-8
Acta Ecologica Sinica [engl. Ausgabe]		1872-2032	2006	26		2022	42	6	https://www.sciencedirect.com/science/journal/18722032		66657		fulltext		Elsevier	Serial		ELDEA:deal_elsevier_arch	1872-2032	2233694-1
Acta Ecologica Sinica [engl. Ausgabe]		1872-2032	2006	26		2022	42	6	https://www.sciencedirect.com/science/journal/18722032		66657		fulltext		Elsevier	Serial		ELDEA:deal_elsevier_frc	1872-2032	2233694-1
Acta Ethologica	0873-9749	1437-9546	1999	2	1				https://link.springer.com/journal/volumesAndIssues/10211		5715		fulltext		Springer	Serial		DESPR:deal_springer	0873-9749;1437-9546	1499105-6
Acta Ethologica	0873-9749	1437-9546	1999	2	1				https://link.springer.com/journal/volumesAndIssues/10211		5715		fulltext		Springer	Serial		DESPR:deal_springer	0873-9749;1437-9546	1499105-6
Acta Ethologica	0873-9749	1437-9546	2020	23	1				https://link.springer.com/journal/volumesAndIssues/10211		5715		fulltext		Springer	Serial		DESPR:deal_springer_current	0873-9749;1437-9546	1499105-6
Acta Ethologica	0873-9749	1437-9546	2020	23	1				https://link.springer.com/journal/volumesAndIssues/10211		5715		fulltext		Springer	Serial		DESPR:deal_springer_current	0873-9749;1437-9546	1499105-6
Acta Genetica Sinica	0379-4172		2006	33		2006	33	12	https://www.sciencedirect.com/science/journal/03794172		65677		fulltext		Institute of Genetics and Developmental Biology & The Genetics Society of China; Elsevier	Serial		ELDEA:deal_elsevier_arch	0379-4172	2238859-X
Acta Genetica Sinica	0379-4172		2006	33		2006	33	12	https://www.sciencedirect.com/science/journal/03794172		65677		fulltext		Institute of Genetics and Developmental Biology & The Genetics Society of China; Elsevier	Serial		ELDEA:deal_elsevier_frc	0379-4172	2238859-X
Acta Geochimica	0253-486X	1993-0364	1997	16	1				https://link.springer.com/journal/volumesAndIssues/11631		88530		fulltext		Springer Nature	Serial		DESPR:deal_springer	0253-486X;1000-9426;2096-0956;1993-0364;2365-7499	2847053-9
Acta Geochimica	0253-486X	1993-0364	1997	16	1				https://link.springer.com/journal/volumesAndIssues/11631		88530		fulltext		Springer Nature	Serial		DESPR:deal_springer	0253-486X;1000-9426;2096-0956;1993-0364;2365-7499	2847053-9
Acta Geochimica	0253-486X	1993-0364	2020	39	1				https://link.springer.com/journal/volumesAndIssues/11631		88530		fulltext		Springer Nature	Serial		DESPR:deal_springer_current	0253-486X;1000-9426;2096-0956;1993-0364;2365-7499	2847053-9
