publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	package_name	package_id	vendor_name	vendor_id	resource_type	package_content_type
Dokumentation der Tagung Internet-Plattform Demenz									https://www.ssoar.info/ssoar/bitstream/handle/document/37002/ssoar-2004-hoffmann_et_al-Dokumentation_der_Tagung_Internet-Plattform_Demenz.pdf?sequence		593792793		fulltext		Deutsches Zentrum f¸r Altersfragen	monograph		2004			"Flascha, Michael"			P					Book	EBook
"Generationengerechtigkeit in der sozialen Sicherung"". Anmerkungen sowie ausgew‰hlte Literatur aus Sicht der angewandten Alternsforschung"""									http://www.dza.de/nc/informationsdienste/diskussionspapiere-des-dza.html?download=Diskussionspapier_Nr_42.pdf		593793730		fulltext		Deutsches Zentrum f¸r Altersfragen	monograph		2004		Juni 2004	"Motel-Klingebiel, Andreas"			P					Book	EBook
Alterseinkommen der Zukunft - eine szenarische Skizze -									http://www.dza.de/nc/informationsdienste/diskussionspapiere-des-dza.html?download=Diskussionspapier_Nr_43.pdf		593794672		fulltext		Deutsches Zentrum f¸r Altersfragen	monograph		2004		Aug-04	"Motel-Klingebiel, Andreas"			P					Book	EBook
Alter(n) auf dem Markt der Mˆglichkeiten. Die Disorganisierung der Seniorenversorgung und ihre Folgen f¸r die Strukturen sozialer Ungleichheiten									http://www.dza.de/nc/informationsdienste/diskussionspapiere-des-dza.html?download=Diskussionspapier_Nr_44.pdf		593795482		fulltext		Deutsches Zentrum f¸r Altersfragen	monograph		2005		Nov. 2005	"Bode, Ingo"			P					Book	EBook
Freedom of choice and dignity for the elderly									http://www.dza.de/nc/informationsdienste/diskussionspapiere-des-dza.html?download=Diskussionspapier_Nr_45.pdf		593796276		fulltext		Deutsches Zentrum f¸r Altersfragen	monograph		2007		Nov. 2007	"Tesch-Rˆmer, Clemens"			P					Book	EBook
Human development	0018-716X	1423-0054							https://karger.com/hde		268132380		fulltext		Karger	serial								P					Journal	EJournal
Gerontology : international journal of experimental and clinical gerontology ; organ of the International Association of Gerontology (IAG)	0304-324X	1423-0003							http://www.karger.com/Journal/Home/224091		300591497		fulltext		Karger	serial								P					Journal	EJournal
European journal of women's studies	1350-5068	1461-7420							https://journals.sagepub.com/home/ejw		301115230		fulltext		Sage Publications	serial								P					Journal	EJournal
Cross-cultural research : the journal of comparative social science	1069-3971	1552-3578							https://journals.sagepub.com/home/ccr		320434117		fulltext		Sage	serial								P					Journal	EJournal
American politics research	1532-673X	1552-3373							http://www.bibliothek.uni-regensburg.de/ezeit/?2095947		358141931		fulltext		Sage	serial								P					Journal	EJournal
Global social policy : an interdisciplinary journal of public policy and social development	1468-0181	1741-2803							https://journals.sagepub.com/home/gsp		331509458		fulltext		Sage	serial								P					Journal	EJournal
Das Parlament	0031-2258	2194-3745							https://www.das-parlament.de/e-paper		335257607		fulltext		Bundeszentrale	serial								P					Journal	EJournal
International political science abstracts : IPSA	0020-8345	1751-9292							https://dbis.ur.de/resources/1028		37294003X		fulltext		Sage	serial								P					Journal	EJournal
Global media and communication	1742-7665	1742-7673							https://journals.sagepub.com/home/gmc		483305294		fulltext		Sage	serial								P					Journal	EJournal
Cultural sociology	1749-9755	1749-9763							https://journals.sagepub.com/home/cus		527642967		fulltext		Sage	serial								P					Journal	EJournal
Aus Politik und Zeitgeschichte : APuZ	0479-611X	2194-3621							https://www.das-parlament.de/		325485348		fulltext		Bundeszentrale f¸r Politische Bildung	serial								P					Journal	EJournal
Sociology : the journal of the British Sociological Association	0038-0385	1469-8684							https://journals.sagepub.com/home/soc		254235573		fulltext		Sage	serial								P					Journal	EJournal
"Philosophy & social criticism : an international, interdisciplinary journal"	0191-4537	1461-734X							https://journals.sagepub.com/home/psc		269537910		fulltext		Sage	serial								P					Journal	EJournal
International sociology : the journal of the International Sociological Association	0268-5809	1461-7242							https://journals.sagepub.com/home/iss		271601035		fulltext		Sage	serial								P					Journal	EJournal
Journal of European social policy	0958-9287	1461-7269							https://journals.sagepub.com/home/esp		300591837		fulltext		Sage Publ.	serial								P					Journal	EJournal
Social compass : international review of socio-religious studies	0037-7686	1461-7404							https://journals.sagepub.com/home/scp		302197583		fulltext		Sage	serial								P					Journal	EJournal
Philosophy of the social sciences : an international journal	0048-3931	1552-7441							http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:&svc_d		303259531		fulltext		Sage	serial								P					Journal	EJournal
Politics & society	0032-3292	1552-7514							https://journals.sagepub.com/home/pas		303259574		fulltext		Sage	serial								P					Journal	EJournal
Political theory : an international journal of political philosophy	0090-5917	1552-7476							https://journals.sagepub.com/home/ptx		306657414		fulltext		Sage Publ.	serial								P					Journal	EJournal
Journal of librarianship and information science	0961-0006	1741-6477							http://bubl.ac.uk/archive/journals/jlais/		306717514		fulltext		Sage	serial								P					Journal	EJournal
Journal of information science	0165-5515	1741-6485							https://journals.sagepub.com/home/jis		319509508		fulltext		Sage Publications	serial								P					Journal	EJournal
"Work, employment and society : a journal of the British Sociological Association"	0950-0170	1469-8722							https://journals.sagepub.com/home/wes		320400549		fulltext		Sage	serial								P					Journal	EJournal
Work and occupations : an international sociological journal	0730-8884	1552-8464							https://journals.sagepub.com/home/wox		320410706		fulltext		Sage	serial								P					Journal	EJournal
Social science information	0037-7864	1461-7412							https://journals.sagepub.com/home/ssi		320596303		fulltext		Sage	serial								P					Journal	EJournal
International political science review : the journal of the International Political Science Association (IPSA)	0192-5121	1460-373X							https://journals.sagepub.com/home/ips		324486863		fulltext		Sage	serial								P					Journal	EJournal
Journal of aging and health : social and behavioural factors relating to ageing and health	0898-2643	1552-6887							https://journals.sagepub.com/home/jah		325163308		fulltext		Sage Publ.	serial								P					Journal	EJournal
International social work	0020-8728	1461-7234							https://journals.sagepub.com/home/isw		331020572		fulltext		Sage	serial								P					Journal	EJournal
Journal of sociology : the journal of the Australian Sociological Association	1440-7833	1741-2978							https://journals.sagepub.com/home/jos		334375517		fulltext		Sage	serial								P					Journal	EJournal
Journal of classical sociology	1468-795X	1741-2897							https://journals.sagepub.com/home/jcs		334375525		fulltext		Sage	serial								P					Journal	EJournal
International relations : the journal of the David Davies Memorial Institute of International Studies	0047-1178	1741-2862							https://journals.sagepub.com/home/ire		33525666X		fulltext		Sage	serial								P					Journal	EJournal
Journal of European studies	0047-2441	1740-2379							https://journals.sagepub.com/home/jes		341345172		fulltext		Sage	serial								P					Journal	EJournal
Political research quarterly : PRQ ; official journal of the Western Political Science Association and other associations	1065-9129	1938-274X							http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pqm&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=journal&req_dat=xri:pqil:&svc_d		341903280		fulltext		Sage Publ.	serial								P					Journal	EJournal
"Policy, politics & nursing practice"	1527-1544	1552-7468							https://journals.sagepub.com/home/ppn		341911143		fulltext		Sage Publications	serial								P					Journal	EJournal
Journal of social work : JSW	1468-0173	1741-296X							https://journals.sagepub.com/home/jsw		362779627		fulltext		Sage Publ.	serial								P					Journal	EJournal
Space and Culture	1206-3312	1552-8308							https://journals.sagepub.com/home/sac		362780927		fulltext		Sage Publications	serial								P					Journal	EJournal
Journal of public health	1741-3842	1741-3850							https://academic.oup.com/jpubhealth/issue		306364980		fulltext		Oxford Univ. Press	serial								P					Journal	EJournal
The British journal of social work	0045-3102	1468-263X							https://academic.oup.com/bjsw/issue		320505413		fulltext		Oxford Univ. Press	serial								P					Journal	EJournal
Internationale Revue f¸r soziale Sicherheit	0379-0282	1752-1726							https://doi.org/10.1111/(ISSN)1752-1726		525476075		fulltext		Wiley-Blackwell	serial								P					Journal	EJournal
Dementia and geriatric cognitive disorders	1420-8008	1421-9824							https://doi.org/10.1159/issn.1420-8008		300190964		fulltext		Karger	serial								P					Journal	EJournal
American journal of Alzheimer's disease and other dementias	1533-3175	1938-2731							http://www.bibliothek.uni-regensburg.de/ezeit/?2235173		511917171		fulltext		Sage	serial								P					Journal	EJournal
"Die Mehrkinderfamilie in Deutschland : zur demographischen Bedeutung der Familie mit drei und mehr Kindern und zu ihrer ˆkonomischen Situation : Expertise f¸r das Kompetenzzentrum f¸r familienbezogene Leistungen im Bundesministerium f¸r Familie, Senioren, Frauen und Jugend"									https://www.bmfsfj.de/resource/blob/76420/fe30e1fc81362dc514fdc08cce71f6ad/mehrkinderfamilie-bertram-data.pdf		561523045		fulltext		"Bundesministerium f¸r Familie, Senioren, Frauen und Jugend"	monograph		2008			"Bertram, Hans"			P					Book	EBook
"Mˆglichkeiten und Grenzen selbst‰ndiger Lebensf¸hrung in station‰ren Einrichtungen (MuG IV) - Demenz, Angehˆrige und Freiwillige, Versorgungssituation sowie Beispiele f¸r Good Practice"" : integrierter Abschlussbericht ; Forschungsprojekt im Auftrag des Bundesministeriums f¸r Familie, Senioren, Frauen und Jugend"""									"http://www.bmfsfj.de/bmfsfj/generator/RedaktionBMFSFJ/Abteilung3/Pdf-Anlagen/abschlussbericht-mug4,property=pdf,bereich=,sprache=de,rwb=true.pdf"		565306782		fulltext		"Bundesministerium f¸r Familie, Senioren, Frauen und Jugend"	monograph		2008			"Schneekloth, Ulrich"			P					Book	EBook
Charta der Rechte hilfe- und pflegebed¸rftiger Menschen									https://www.pflege-charta.de/fileadmin/charta/pdf/140603_-_Aktive_PDF_-_Charta.pdf		558066003		fulltext			monograph		2014		"Stand: Mai 2014, 11. Aufl.; [Elektronische Ressource]"				P					Book	EBook
F¸nfter Bericht zur Lage der ‰lteren Generation in der Bundesrepublik Deutschland: Potenziale des Alters in Wirtschaft und Gesellschaft - der Beitrag ‰lterer Menschen zum Zusammenhalt der Generationen und Stellungnahme der Bundesregierung : Unterrichtung durch die Bundesregierung									http://dip21.bundestag.de/dip21/btd/16/021/1602190.pdf		518581381		fulltext		Bundesanzeiger Verl.-Ges.	monograph		2006						P					Book	EBook
Pflegewissenschaft	1662-3029	1664-0969							https://nbn-resolving.org/urn:nbn:de:hebis:17:epflicht-21208		306320622		fulltext		hpsmedia GmbH	serial								P					Journal	EJournal
Lebenslagen in Deutschland : der Armuts- und Reichtumsbericht der Bundesregierung	1614-3639	1614-3620							https://www.armuts-und-reichtumsbericht.de/DE/Bericht/armuts-und-reichtumsbericht.html		338074562		fulltext		[Verlag nicht ermittelbar]	serial								P					Journal	EJournal
Bildung in Deutschland : ein indikatorengest¸tzter Bericht mit einer Analyse zum Bildungspersonal									https://nbn-resolving.org/urn:nbn:de:hbz:6:2-1342830		571612334		fulltext		wbv Publikation	serial								P					Journal	EJournal
Current sociology : journal of the International Sociological Association ISA	0011-3921	1461-7064							https://journals.sagepub.com/home/csi		271596961		fulltext		Sage	serial								P					Journal	EJournal
Culture & psychology : CP	1354-067X	1461-7056							https://journals.sagepub.com/home/cap		300591330		fulltext		SAGE Publications	serial								P					Journal	EJournal
European journal of public health : official journal of the European Health Association	1101-1262	1464-360X							https://academic.oup.com/eurpub/issue		324962509		fulltext		Oxford Univ. Press	serial								P					Journal	EJournal
Qualitative health research	1049-7323	1552-7557							https://journals.sagepub.com/home/qhr		320485218		fulltext		Sage Publ.	serial								P					Journal	EJournal
Palliative medicine	0269-2163	1477-030X							https://journals.sagepub.com/home/pmj		32448836X		fulltext		Sage Publications	serial								P					Journal	EJournal
